kabupaten,tahun,produktivitas,komoditas
BOGOR,2015,44.44,Jagung
SUKABUMI,2015,62.86,Jagung
CIANJUR,2015,74.72,Jagung
BANDUNG,2015,49.86,Jagung
GARUT,2015,83.02,Jagung
TASIKMALAYA,2015,63.81,Jagung
CIAMIS,2015,62.36,Jagung
KUNINGAN,2015,79.0,Jagung
CIREBON,2015,77.31,Jagung
MAJALENGKA,2015,75.95,Jagung
SUMEDANG,2015,73.35,Jagung
INDRAMAYU,2015,68.43,Jagung
SUBANG,2015,45.75,Jagung
PURWAKARTA,2015,54.26,Jagung
KARAWANG,2015,53.64,Jagung
BEKASI,2015,60.0,Jagung
BANDUNG BARAT,2015,44.37,Jagung
PANGANDARAN,2015,34.26,Jagung
BOGOR,2015,64.38,Jagung
SUKABUMI,2015,68.85,Jagung
BANDUNG,2015,0.0,Jagung
CIREBON,2015,20.0,Jagung
BEKASI,2015,32.12,Jagung
DEPOK,2015,0.0,Jagung
CIMAHI,2015,0.0,Jagung
TASIKMALAYA,2015,45.0,Jagung
BANJAR,2015,50.48,Jagung
BOGOR,2016,60.07,Jagung
SUKABUMI,2016,65.95,Jagung
CIANJUR,2016,77.56,Jagung
BANDUNG,2016,77.6,Jagung
GARUT,2016,89.58,Jagung
TASIKMALAYA,2016,67.82,Jagung
CIAMIS,2016,86.02,Jagung
KUNINGAN,2016,76.42,Jagung
CIREBON,2016,79.29,Jagung
MAJALENGKA,2016,84.99,Jagung
SUMEDANG,2016,80.53,Jagung
INDRAMAYU,2016,77.66,Jagung
SUBANG,2016,51.53,Jagung
PURWAKARTA,2016,67.76,Jagung
KARAWANG,2016,85.44,Jagung
BEKASI,2016,68.33,Jagung
BANDUNG BARAT,2016,77.16,Jagung
PANGANDARAN,2016,66.91,Jagung
BOGOR,2016,60.76,Jagung
SUKABUMI,2016,79.18,Jagung
BANDUNG,2016,0.0,Jagung
CIREBON,2016,44.83,Jagung
BEKASI,2016,47.21,Jagung
DEPOK,2016,50.0,Jagung
CIMAHI,2016,50.0,Jagung
TASIKMALAYA,2016,47.07,Jagung
BANJAR,2016,51.43,Jagung
BOGOR,2017,51.0,Jagung
SUKABUMI,2017,66.7,Jagung
CIANJUR,2017,78.28,Jagung
BANDUNG,2017,0.0,Jagung
GARUT,2017,87.91,Jagung
TASIKMALAYA,2017,70.05,Jagung
CIAMIS,2017,62.46,Jagung
KUNINGAN,2017,67.98,Jagung
CIREBON,2017,79.67,Jagung
MAJALENGKA,2017,82.63,Jagung
SUMEDANG,2017,75.06,Jagung
INDRAMAYU,2017,76.88,Jagung
SUBANG,2017,50.64,Jagung
PURWAKARTA,2017,66.92,Jagung
KARAWANG,2017,80.88,Jagung
BEKASI,2017,60.0,Jagung
BANDUNG BARAT,2017,68.12,Jagung
PANGANDARAN,2017,66.89,Jagung
BOGOR,2017,0.0,Jagung
SUKABUMI,2017,0.0,Jagung
BANDUNG,2017,0.0,Jagung
CIREBON,2017,0.0,Jagung
BEKASI,2017,0.0,Jagung
DEPOK,2017,0.0,Jagung
CIMAHI,2017,0.0,Jagung
TASIKMALAYA,2017,0.0,Jagung
BANJAR,2017,39.03,Jagung
BOGOR,2018,80.34,Jagung
SUKABUMI,2018,66.37,Jagung
CIANJUR,2018,77.75,Jagung
BANDUNG,2018,1.0,Jagung
GARUT,2018,81.18,Jagung
TASIKMALAYA,2018,64.77,Jagung
CIAMIS,2018,63.51,Jagung
KUNINGAN,2018,63.77,Jagung
CIREBON,2018,79.39,Jagung
MAJALENGKA,2018,78.34,Jagung
SUMEDANG,2018,76.96,Jagung
INDRAMAYU,2018,80.18,Jagung
SUBANG,2018,51.38,Jagung
PURWAKARTA,2018,64.64,Jagung
KARAWANG,2018,68.52,Jagung
BEKASI,2018,60.0,Jagung
