kabupaten,tahun,produktivitas,komoditas
BOGOR,2015,249.14,Ubi Kayu
SUKABUMI,2015,311.83,Ubi Kayu
CIANJUR,2015,239.3,Ubi Kayu
BANDUNG,2015,163.03,Ubi Kayu
GARUT,2015,245.53,Ubi Kayu
TASIKMALAYA,2015,234.51,Ubi Kayu
CIAMIS,2015,289.56,Ubi Kayu
KUNINGAN,2015,230.15,Ubi Kayu
CIREBON,2015,208.37,Ubi Kayu
MAJALENGKA,2015,361.56,Ubi Kayu
SUMEDANG,2015,160.29,Ubi Kayu
INDRAMAYU,2015,195.81,Ubi Kayu
SUBANG,2015,196.26,Ubi Kayu
PURWAKARTA,2015,222.58,Ubi Kayu
KARAWANG,2015,323.09,Ubi Kayu
BEKASI,2015,151.14,Ubi Kayu
BANDUNG BARAT,2015,198.62,Ubi Kayu
PANGANDARAN,2015,170.61,Ubi Kayu
BOGOR,2015,135.41,Ubi Kayu
SUKABUMI,2015,272.38,Ubi Kayu
BANDUNG,2015,161.05,Ubi Kayu
CIREBON,2015,117.5,Ubi Kayu
BEKASI,2015,118.1,Ubi Kayu
DEPOK,2015,271.96,Ubi Kayu
CIMAHI,2015,163.49,Ubi Kayu
TASIKMALAYA,2015,257.81,Ubi Kayu
BANJAR,2015,118.5,Ubi Kayu
BOGOR,2016,289.13,Ubi Kayu
SUKABUMI,2016,294.43,Ubi Kayu
CIANJUR,2016,277.16,Ubi Kayu
BANDUNG,2016,208.65,Ubi Kayu
GARUT,2016,247.47,Ubi Kayu
TASIKMALAYA,2016,223.48,Ubi Kayu
CIAMIS,2016,271.32,Ubi Kayu
KUNINGAN,2016,234.71,Ubi Kayu
CIREBON,2016,210.0,Ubi Kayu
MAJALENGKA,2016,216.46,Ubi Kayu
SUMEDANG,2016,186.73,Ubi Kayu
INDRAMAYU,2016,263.45,Ubi Kayu
SUBANG,2016,227.82,Ubi Kayu
PURWAKARTA,2016,264.72,Ubi Kayu
KARAWANG,2016,124.74,Ubi Kayu
BEKASI,2016,145.84,Ubi Kayu
BANDUNG BARAT,2016,266.68,Ubi Kayu
PANGANDARAN,2016,219.14,Ubi Kayu
BOGOR,2016,219.82,Ubi Kayu
SUKABUMI,2016,284.23,Ubi Kayu
BANDUNG,2016,132.34,Ubi Kayu
CIREBON,2016,182.5,Ubi Kayu
BEKASI,2016,116.34,Ubi Kayu
DEPOK,2016,285.53,Ubi Kayu
CIMAHI,2016,187.72,Ubi Kayu
TASIKMALAYA,2016,219.23,Ubi Kayu
BANJAR,2016,146.76,Ubi Kayu
BOGOR,2017,283.24,Ubi Kayu
SUKABUMI,2017,302.64,Ubi Kayu
CIANJUR,2017,183.09,Ubi Kayu
BANDUNG,2017,0.0,Ubi Kayu
GARUT,2017,288.09,Ubi Kayu
TASIKMALAYA,2017,261.11,Ubi Kayu
CIAMIS,2017,168.31,Ubi Kayu
KUNINGAN,2017,278.8,Ubi Kayu
CIREBON,2017,151.72,Ubi Kayu
MAJALENGKA,2017,224.62,Ubi Kayu
SUMEDANG,2017,261.49,Ubi Kayu
INDRAMAYU,2017,197.73,Ubi Kayu
SUBANG,2017,164.79,Ubi Kayu
