kabupaten,tahun,produktivitas,komoditas
BOGOR,2015,63.26,Padi
SUKABUMI,2015,57.84,Padi
CIANJUR,2015,59.41,Padi
BANDUNG,2015,59.5,Padi
GARUT,2015,60.79,Padi
TASIKMALAYA,2015,68.78,Padi
CIAMIS,2015,59.91,Padi
KUNINGAN,2015,60.65,Padi
CIREBON,2015,57.96,Padi
MAJALENGKA,2015,61.28,Padi
SUMEDANG,2015,59.09,Padi
INDRAMAYU,2015,65.62,Padi
SUBANG,2015,61.97,Padi
PURWAKARTA,2015,56.12,Padi
KARAWANG,2015,64.33,Padi
BEKASI,2015,53.96,Padi
BANDUNG BARAT,2015,57.31,Padi
PANGANDARAN,2015,55.41,Padi
BOGOR,2015,58.06,Padi
SUKABUMI,2015,65.66,Padi
BANDUNG,2015,63.71,Padi
CIREBON,2015,51.97,Padi
BEKASI,2015,57.01,Padi
DEPOK,2015,59.76,Padi
CIMAHI,2015,68.95,Padi
TASIKMALAYA,2015,54.58,Padi
BANJAR,2015,62.34,Padi
BOGOR,2016,63.33,Padi
SUKABUMI,2016,56.31,Padi
CIANJUR,2016,56.8,Padi
BANDUNG,2016,57.38,Padi
GARUT,2016,61.75,Padi
TASIKMALAYA,2016,61.36,Padi
CIAMIS,2016,62.05,Padi
KUNINGAN,2016,60.65,Padi
CIREBON,2016,60.36,Padi
MAJALENGKA,2016,64.41,Padi
SUMEDANG,2016,60.29,Padi
INDRAMAYU,2016,65.31,Padi
SUBANG,2016,61.84,Padi
PURWAKARTA,2016,53.44,Padi
KARAWANG,2016,61.02,Padi
BEKASI,2016,53.4,Padi
BANDUNG BARAT,2016,61.59,Padi
PANGANDARAN,2016,59.97,Padi
BOGOR,2016,59.73,Padi
SUKABUMI,2016,63.45,Padi
BANDUNG,2016,55.0,Padi
CIREBON,2016,59.29,Padi
BEKASI,2016,56.92,Padi
DEPOK,2016,59.11,Padi
CIMAHI,2016,55.95,Padi
TASIKMALAYA,2016,55.73,Padi
BANJAR,2016,62.12,Padi
BOGOR,2017,61.86,Padi
SUKABUMI,2017,56.4,Padi
CIANJUR,2017,56.13,Padi
BANDUNG,2017,58.74,Padi
GARUT,2017,64.33,Padi
TASIKMALAYA,2017,66.45,Padi
CIAMIS,2017,58.26,Padi
KUNINGAN,2017,62.79,Padi
CIREBON,2017,54.91,Padi
MAJALENGKA,2017,64.48,Padi
SUMEDANG,2017,58.92,Padi
INDRAMAYU,2017,53.12,Padi
SUBANG,2017,64.33,Padi
PURWAKARTA,2017,52.88,Padi
KARAWANG,2017,57.33,Padi
BEKASI,2017,47.35,Padi
BANDUNG BARAT,2017,60.24,Padi
PANGANDARAN,2017,56.16,Padi
BOGOR,2017,55.11,Padi
SUKABUMI,2017,58.04,Padi
BANDUNG,2017,58.47,Padi
CIREBON,2017,39.63,Padi
BEKASI,2017,56.01,Padi
DEPOK,2017,54.86,Padi
CIMAHI,2017,60.47,Padi
TASIKMALAYA,2017,54.0,Padi
BANJAR,2017,60.32,Padi
BOGOR,2018,56.15,Padi
SUKABUMI,2018,50.51,Padi
CIANJUR,2018,55.45,Padi
BANDUNG,2018,56.92,Padi
GARUT,2018,54.44,Padi
TASIKMALAYA,2018,57.3,Padi
CIAMIS,2018,57.02,Padi
KUNINGAN,2018,62.15,Padi
CIREBON,2018,54.0,Padi
MAJALENGKA,2018,60.75,Padi
SUMEDANG,2018,53.68,Padi
INDRAMAYU,2018,59.6,Padi
SUBANG,2018,57.33,Padi
PURWAKARTA,2018,54.42,Padi
KARAWANG,2018,56.81,Padi
BEKASI,2018,48.91,Padi
BANDUNG BARAT,2018,54.21,Padi
PANGANDARAN,2018,57.49,Padi
BOGOR,2018,49.16,Padi
SUKABUMI,2018,58.37,Padi
BANDUNG,2018,63.93,Padi
CIREBON,2018,51.21,Padi
BEKASI,2018,52.38,Padi
DEPOK,2018,52.03,Padi
CIMAHI,2018,54.29,Padi
TASIKMALAYA,2018,51.02,Padi
BANJAR,2018,56.02,Padi
BOGOR,2019,68.48,Padi
SUKABUMI,2019,61.07,Padi
CIANJUR,2019,66.52,Padi
BANDUNG,2019,73.62,Padi
GARUT,2019,69.04,Padi
TASIKMALAYA,2019,67.88,Padi
CIAMIS,2019,65.81,Padi
KUNINGAN,2019,65.99,Padi
CIREBON,2019,70.21,Padi
MAJALENGKA,2019,73.56,Padi
SUMEDANG,2019,65.18,Padi
INDRAMAYU,2019,77.01,Padi
SUBANG,2019,75.69,Padi
PURWAKARTA,2019,65.87,Padi
KARAWANG,2019,73.91,Padi
BEKASI,2019,68.09,Padi
BANDUNG BARAT,2019,66.59,Padi
PANGANDARAN,2019,71.02,Padi
BOGOR,2019,62.17,Padi
SUKABUMI,2019,76.83,Padi
BANDUNG,2019,74.21,Padi
CIREBON,2019,58.89,Padi
BEKASI,2019,68.77,Padi
DEPOK,2019,63.3,Padi
CIMAHI,2019,71.13,Padi
TASIKMALAYA,2019,61.92,Padi
BANJAR,2019,67.96,Padi
BOGOR,2020,52.89,Padi
SUKABUMI,2020,51.2,Padi
CIANJUR,2020,53.6,Padi
BANDUNG,2020,54.78,Padi
GARUT,2020,53.13,Padi
TASIKMALAYA,2020,58.67,Padi
CIAMIS,2020,53.48,Padi
KUNINGAN,2020,60.31,Padi
CIREBON,2020,57.9,Padi
MAJALENGKA,2020,57.59,Padi
SUMEDANG,2020,54.34,Padi
INDRAMAYU,2020,56.72,Padi
SUBANG,2020,56.39,Padi
PURWAKARTA,2020,52.71,Padi
KARAWANG,2020,58.37,Padi
BEKASI,2020,48.97,Padi
BANDUNG BARAT,2020,55.61,Padi
PANGANDARAN,2020,52.48,Padi
BOGOR,2020,46.47,Padi
SUKABUMI,2020,59.8,Padi
BANDUNG,2020,56.74,Padi
CIREBON,2020,46.49,Padi
BEKASI,2020,51.52,Padi
DEPOK,2020,58.32,Padi
CIMAHI,2020,54.07,Padi
TASIKMALAYA,2020,45.94,Padi
BANJAR,2020,55.49,Padi
BOGOR,2015,44.44,Jagung
SUKABUMI,2015,62.86,Jagung
CIANJUR,2015,74.72,Jagung
BANDUNG,2015,49.86,Jagung
GARUT,2015,83.02,Jagung
TASIKMALAYA,2015,63.81,Jagung
CIAMIS,2015,62.36,Jagung
KUNINGAN,2015,79.0,Jagung
CIREBON,2015,77.31,Jagung
MAJALENGKA,2015,75.95,Jagung
SUMEDANG,2015,73.35,Jagung
INDRAMAYU,2015,68.43,Jagung
SUBANG,2015,45.75,Jagung
PURWAKARTA,2015,54.26,Jagung
KARAWANG,2015,53.64,Jagung
BEKASI,2015,60.0,Jagung
BANDUNG BARAT,2015,44.37,Jagung
PANGANDARAN,2015,34.26,Jagung
BOGOR,2015,64.38,Jagung
SUKABUMI,2015,68.85,Jagung
BANDUNG,2015,0.0,Jagung
CIREBON,2015,20.0,Jagung
BEKASI,2015,32.12,Jagung
DEPOK,2015,0.0,Jagung
CIMAHI,2015,0.0,Jagung
TASIKMALAYA,2015,45.0,Jagung
BANJAR,2015,50.48,Jagung
BOGOR,2016,60.07,Jagung
SUKABUMI,2016,65.95,Jagung
CIANJUR,2016,77.56,Jagung
BANDUNG,2016,77.6,Jagung
GARUT,2016,89.58,Jagung
TASIKMALAYA,2016,67.82,Jagung
CIAMIS,2016,86.02,Jagung
KUNINGAN,2016,76.42,Jagung
CIREBON,2016,79.29,Jagung
MAJALENGKA,2016,84.99,Jagung
SUMEDANG,2016,80.53,Jagung
INDRAMAYU,2016,77.66,Jagung
SUBANG,2016,51.53,Jagung
PURWAKARTA,2016,67.76,Jagung
KARAWANG,2016,85.44,Jagung
BEKASI,2016,68.33,Jagung
BANDUNG BARAT,2016,77.16,Jagung
PANGANDARAN,2016,66.91,Jagung
BOGOR,2016,60.76,Jagung
SUKABUMI,2016,79.18,Jagung
BANDUNG,2016,0.0,Jagung
CIREBON,2016,44.83,Jagung
BEKASI,2016,47.21,Jagung
DEPOK,2016,50.0,Jagung
CIMAHI,2016,50.0,Jagung
TASIKMALAYA,2016,47.07,Jagung
BANJAR,2016,51.43,Jagung
BOGOR,2017,51.0,Jagung
SUKABUMI,2017,66.7,Jagung
CIANJUR,2017,78.28,Jagung
BANDUNG,2017,0.0,Jagung
GARUT,2017,87.91,Jagung
TASIKMALAYA,2017,70.05,Jagung
CIAMIS,2017,62.46,Jagung
KUNINGAN,2017,67.98,Jagung
CIREBON,2017,79.67,Jagung
MAJALENGKA,2017,82.63,Jagung
SUMEDANG,2017,75.06,Jagung
INDRAMAYU,2017,76.88,Jagung
SUBANG,2017,50.64,Jagung
PURWAKARTA,2017,66.92,Jagung
KARAWANG,2017,80.88,Jagung
BEKASI,2017,60.0,Jagung
BANDUNG BARAT,2017,68.12,Jagung
PANGANDARAN,2017,66.89,Jagung
BOGOR,2017,0.0,Jagung
SUKABUMI,2017,0.0,Jagung
BANDUNG,2017,0.0,Jagung
CIREBON,2017,0.0,Jagung
BEKASI,2017,0.0,Jagung
DEPOK,2017,0.0,Jagung
CIMAHI,2017,0.0,Jagung
TASIKMALAYA,2017,0.0,Jagung
BANJAR,2017,39.03,Jagung
BOGOR,2018,80.34,Jagung
SUKABUMI,2018,66.37,Jagung
CIANJUR,2018,77.75,Jagung
BANDUNG,2018,1.0,Jagung
GARUT,2018,81.18,Jagung
TASIKMALAYA,2018,64.77,Jagung
CIAMIS,2018,63.51,Jagung
KUNINGAN,2018,63.77,Jagung
CIREBON,2018,79.39,Jagung
MAJALENGKA,2018,78.34,Jagung
SUMEDANG,2018,76.96,Jagung
INDRAMAYU,2018,80.18,Jagung
SUBANG,2018,51.38,Jagung
PURWAKARTA,2018,64.64,Jagung
KARAWANG,2018,68.52,Jagung
BEKASI,2018,60.0,Jagung
BANDUNG BARAT,2018,72.1,Jagung
PANGANDARAN,2018,56.16,Jagung
BOGOR,2018,0.0,Jagung
SUKABUMI,2018,0.0,Jagung
BANDUNG,2018,0.0,Jagung
CIREBON,2018,0.0,Jagung
BEKASI,2018,0.0,Jagung
DEPOK,2018,0.0,Jagung
CIMAHI,2018,0.0,Jagung
TASIKMALAYA,2018,0.0,Jagung
BANJAR,2018,42.65,Jagung
BOGOR,2019,46.23,Jagung
SUKABUMI,2019,65.51,Jagung
CIANJUR,2019,64.09,Jagung
BANDUNG,2019,2.0,Jagung
GARUT,2019,77.19,Jagung
TASIKMALAYA,2019,60.32,Jagung
CIAMIS,2019,72.73,Jagung
KUNINGAN,2019,71.52,Jagung
CIREBON,2019,78.7,Jagung
MAJALENGKA,2019,75.46,Jagung
SUMEDANG,2019,77.23,Jagung
INDRAMAYU,2019,59.92,Jagung
SUBANG,2019,56.41,Jagung
PURWAKARTA,2019,67.91,Jagung
KARAWANG,2019,64.57,Jagung
BEKASI,2019,60.0,Jagung
BANDUNG BARAT,2019,49.39,Jagung
PANGANDARAN,2019,66.13,Jagung
BOGOR,2019,0.0,Jagung
