kabupaten_kota,latitude,longitude
Kabupaten Simeulue,2.46158,96.38105
Kabupaten Aceh Singkil,2.28411,97.79769
Kabupaten Aceh Selatan,3.26142,97.17933
Kabupaten Aceh Tenggara,3.48673,97.81081
Kabupaten Aceh Timur,4.94789,97.77651
Kabupaten Aceh Tengah,4.63464,96.84219
Kabupaten Aceh Barat,4.14499,96.13576
Kabupaten Aceh Besar,5.29718,95.61156
Kabupaten Pidie,5.3855,95.96064
Kabupaten Bireuen,5.22198,96.71688
Kabupaten Aceh Utara,5.05131,97.3212
Kabupaten Aceh Barat Daya,3.74322,96.83422
Kabupaten Gayo Lues,3.99633,97.34203
Kabupaten Aceh Tamiang,4.33767,98.06355
Kabupaten Nagan Raya,4.16932,96.32479
Kabupaten Aceh Jaya,4.63544,95.58533
Kabupaten Bener Meriah,4.72733,96.86034
Kabupaten Pidie Jaya,5.2288,96.24542
Kota Banda Aceh,5.54794,95.3208
Kota Sabang,5.89285,95.32343
Kota Langsa,4.47185,97.9708
Kota Lhokseumawe,5.18112,97.14196
Kota Subulussalam,2.67207,97.99863
Kabupaten Nias,1.184,97.71678
Kabupaten Mandailing Natal,0.85762,99.55128
Kabupaten Tapanuli Selatan,1.61383,99.2638
Kabupaten Tapanuli Tengah,1.68477,98.82859
Kabupaten Tapanuli Utara,2.01208,98.97541
Kabupaten Toba Samosir,2.33548,99.08092
Kabupaten Labuhan Batu,2.07022,99.85752
Kabupaten Asahan,2.99027,99.6247
Kabupaten Simalungun,2.96527,98.86223
Kabupaten Dairi,2.74462,98.31267
Kabupaten Karo,3.10541,98.49853
Kabupaten Deli Serdang,3.56642,98.87351
Kabupaten Langkat,3.75206,98.45366
Kabupaten Nias Selatan,0.56867,97.81237
Kabupaten Humbang Hasundutan,2.25305,98.75239
Kabupaten Pakpak Bharat,2.55477,98.32467
Kabupaten Samosir,2.62443,98.71453
Kabupaten Serdang Bedagai,3.49339,99.12746
Kabupaten Batu Bara,3.1695,99.42283
Kabupaten Padang Lawas Utara,1.49467,99.62005
Kabupaten Padang Lawas,1.05567,99.77641
Kabupaten Labuhan Batu Selatan,1.89094,100.09064
Kabupaten Labuhan Batu Utara,2.56308,99.65889
Kabupaten Nias Utara,1.62781,98.05255
Kabupaten Nias Barat,0.99957,97.50747
Kota Sibolga,1.73722,98.78456
Kota Tanjung Balai,2.96571,99.80037
Kota Pematang Siantar,2.96548,99.06529
Kota Tebing Tinggi,3.32635,99.15584
Kota Medan,3.59567,98.67565
Kota Binjai,3.61307,98.50635
Kota Padangsidimpuan,1.37223,99.27423
Kota Gunungsitoli,1.28048,97.61443
Kabupaten Kepulauan Mentawai,-2.05399,99.58156
Kabupaten Pesisir Selatan,-1.34743,100.57733
Kabupaten Solok,-0.95199,100.62313
Kabupaten Sijunjung,-0.66569,100.94518
Kabupaten Tanah Datar,-0.45633,100.59637
Kabupaten Padang Pariaman,-0.62037,100.30693
Kabupaten Agam,-0.33059,100.06728
Kabupaten Lima Puluh Kota,-0.15246,100.66111
Kabupaten Pasaman,0.14054,100.16767
Kabupaten Solok Selatan,-1.55631,101.24231
Kabupaten Dharmasraya,-0.95265,101.49455
Kabupaten Pasaman Barat,0.11029,99.83117
Kota Padang,-0.94625,100.35829
Kota Solok,-0.78917,100.65486
Kota Sawah Lunto,-0.59967,100.74631
Kota Padang Panjang,-0.46651,100.39621
Kota Bukittinggi,-0.30396,100.38365
Kota Payakumbuh,-0.22417,100.63241
Kota Pariaman,-0.62723,100.12094
Kabupaten Kuantan Singingi,-0.50513,101.53884
Kabupaten Indragiri Hulu,-0.38902,102.54892
Kabupaten Indragiri Hilir,-0.32194,103.15294
Kabupaten Pelalawan,0.38379,101.84244
Kabupaten Siak,0.80509,102.02092
Kabupaten Kampar,0.34134,101.02889
Kabupaten Rokan Hulu,0.89319,100.30318
Kabupaten Bengkalis,1.49445,102.0916
Kabupaten Rokan Hilir,2.1573,100.81573
Kabupaten Kepulauan Meranti,0.98296,102.69906
Kota Pekanbaru,0.50486,101.44115
Kota Dumai,1.66449,101.40149
Kabupaten Kerinci,-1.93578,101.34254
Kabupaten Merangin,-2.07291,102.27457
Kabupaten Sarolangun,-2.31262,102.75354
Kabupaten Batang Hari,-1.6597,103.28027
Kabupaten Muaro Jambi,-1.44812,103.51612
Kabupaten Tanjung Jabung Timur,-1.20569,103.79294
Kabupaten Tanjung Jabung Barat,-0.81637,103.46271
Kabupaten Tebo,-1.4662,102.35888
Kabupaten Bungo,-1.51616,102.11988
Kota Jambi,-1.61146,103.61261
Kota Sungai Penuh,-2.06345,101.3944
Kabupaten Ogan Komering Ulu,-4.11223,104.17791
Kabupaten Ogan Komering Ilir,-3.41139,104.82364
Kabupaten Muara Enim,-3.66474,103.77288
Kabupaten Lahat,-3.78521,103.54079
Kabupaten Musi Rawas,-3.24521,103.03355
Kabupaten Musi Banyuasin,-2.88888,103.84034
Kabupaten Banyu Asin,-2.88766,104.39386
Kabupaten Ogan Komering Ulu Selatan,-4.53473,104.06858
Kabupaten Ogan Komering Ulu Timur,-4.31419,104.34543
Kabupaten Ogan Ilir,-3.24141,104.66583
Kabupaten Empat Lawang,-3.59113,103.08192
Kabupaten Penukal Abab Lematang Ilir,-3.30959,103.88453
Kabupaten Musi Rawas Utara,-2.73513,102.90215
Kota Palembang,-2.97622,104.77738
Kota Prabumulih,-3.42144,104.24406
Kota Pagar Alam,-4.04082,103.22557
Kota Lubuklinggau,-3.29964,102.85806
Kabupaten Bengkulu Selatan,-4.34188,103.04563
Kabupaten Rejang Lebong,-3.46527,102.52544
Kabupaten Bengkulu Utara,-3.43868,102.1947
Kabupaten Kaur,-4.75886,103.34933
Kabupaten Seluma,-4.07749,102.55662
Kabupaten Mukomuko,-2.57427,101.13082
Kabupaten Lebong,-3.15737,102.18304
Kabupaten Kepahiang,-3.65188,102.57711
Kabupaten Bengkulu Tengah,-3.77276,102.39047
Kota Bengkulu,-3.79143,102.25788
Kabupaten Lampung Barat,-5.01884,104.06096
Kabupaten Tanggamus,-5.49223,104.62189
Kabupaten Lampung Selatan,-5.73466,105.59582
Kabupaten Lampung Timur,-5.0684,105.54633
Kabupaten Lampung Tengah,-4.98283,105.21336
Kabupaten Lampung Utara,-4.82496,104.89532
Kabupaten Way Kanan,-4.50596,104.51212
Kabupaten Tulangbawang,-4.48052,105.24169
Kabupaten Pesawaran,-5.38307,105.09003
Kabupaten Pringsewu,-5.34407,105.00716
Kabupaten Mesuji,-3.87201,105.43494
Kabupaten Tulang Bawang Barat,-4.49926,105.12029
